num_roots,num_fine_roots,num_patents,total_citation,avg_citation
2,4,18,650,36.111111111111114
2,2,10,78,7.8
3,5,45,1169,25.977777777777778
3,3,11,70,6.363636363636363
2,3,10,50,5.0
3,4,15,230,15.333333333333334
3,4,9,85,9.444444444444445
2,3,31,242,7.806451612903226
2,3,5,34,6.8
4,8,21,210,10.0
6,15,96,2746,28.604166666666668
2,3,7,52,7.428571428571429
1,1,13,103,7.923076923076923
5,7,33,538,16.303030303030305
5,8,19,299,15.736842105263158
2,2,6,82,13.666666666666666
2,2,2,3,1.5
5,16,178,2501,14.05056179775281
1,2,13,1581,121.61538461538461
4,4,22,387,17.59090909090909
