from,to
4917,4357
4917,2413
3908,3216
4659,2350
5561,4659
4659,4306
5561,4306
4306,2350
5561,2350
4790,2270
1291,1260
3225,1291
4679,1291
4505,1291
1291,316
4505,3225
3225,316
4679,3225
3225,1260
4505,316
1260,316
4679,316
4505,1260
4679,4505
4679,1260
3624,2494
4764,3624
4764,2494
5338,2190
4726,1769
1769,1347
2516,1769
1769,1523
2516,1347
4726,2516
2516,1523
4726,1523
4726,1347
1523,1347
4338,3710
4632,2315
5622,4632
4632,1150
4632,3098
4632,1444
4632,3736
4632,3733
4632,1955
4632,128
4632,1614
4632,1071
4632,2585
5622,2585
5622,1955
5622,1150
5622,1444
5622,1614
5622,3098
5622,128
5622,3733
5622,1071
5622,2315
5622,3736
1614,128
3733,128
3736,128
1955,128
1150,128
2585,128
1071,128
3098,128
2315,128
1444,128
3733,1150
2315,1150
3736,1150
3098,1150
1614,1150
1955,1150
2585,1150
1444,1150
1955,1071
3736,1071
1444,1071
3733,1071
3098,1071
2315,1071
1614,1071
2585,1071
3098,2585
3098,1614
3098,2315
3733,3098
3098,1444
3098,1955
3736,3098
3733,2315
2315,1955
2315,1614
2585,2315
3736,2315
2315,1444
2585,1955
3736,2585
3733,2585
2585,1614
2585,1444
3736,1955
3736,1444
3736,1614
3736,3733
1955,1444
1955,1614
3733,1955
1614,1444
3733,1614
3733,1444
4240,2377
4945,695
3495,1317
5200,3495
4389,3495
3495,2431
4826,3495
4997,3495
3495,235
4826,4389
5200,4826
4826,1317
4997,4826
4826,2431
4826,235
2431,235
5200,2431
4389,2431
2431,1317
4997,2431
4389,235
5200,4389
4389,1317
4997,4389
4997,235
4997,1317
5200,4997
5200,1317
5200,235
1317,235
4945,1058
1058,641
1401,1058
4945,641
1401,641
4945,1401
5039,1516
5298,2666
2666,2550
3694,2666
5298,3694
5298,2550
3694,2550
4645,246
4645,4336
4336,246
5258,2873
5258,3776
5616,5258
5258,3516
5463,5258
5616,3516
5616,2873
5616,5463
5616,3776
5463,3516
5463,2873
5463,3776
3516,2873
3776,2873
3776,3516
4945,4576
5475,2828
2828,1401
5475,1401
3461,641
5475,641
5475,4945
5475,3461
3461,1401
4576,641
4576,3461
5266,132
3248,419
1353,74
2828,695
1401,695
3615,3094
3615,978
3615,2182
4354,3615
5115,3615
4354,978
5115,4354
4354,3094
4354,2182
